,wrist_3_link-accelerometer_x,wrist_3_link-accelerometer_y,wrist_3_link-accelerometer_z,wrist_3_link-accelerometer_r1,wrist_3_link-accelerometer_r2,wrist_3_link-accelerometer_r3
c016_hand_imu_lin_accel_x,1,1,1,1,1,1
c016_hand_imu_lin_accel_y,1,1,1,1,1,1
c016_hand_imu_lin_accel_z,1,1,1,1,1,1
c016_hand_imu_ang_vel_x,1,1,1,1,1,1
c016_hand_imu_ang_vel_y,1,1,1,1,1,1
c016_hand_imu_ang_vel_z,1,1,1,1,1,1
c017_hand_imu_lin_accel_x,1,1,1,1,1,1
c017_hand_imu_lin_accel_y,1,1,1,1,1,1
c017_hand_imu_lin_accel_z,1,1,1,1,1,1
c017_hand_imu_ang_vel_x,1,1,1,1,1,1
c017_hand_imu_ang_vel_y,1,1,1,1,1,1
c017_hand_imu_ang_vel_z,1,1,1,1,1,1
c018_hand_imu_lin_accel_x,1,1,1,1,1,1
c018_hand_imu_lin_accel_y,1,1,1,1,1,1
c018_hand_imu_lin_accel_z,1,1,1,1,1,1
c018_hand_imu_ang_vel_x,1,1,1,1,1,1
c018_hand_imu_ang_vel_y,1,1,1,1,1,1
c018_hand_imu_ang_vel_z,1,1,1,1,1,1
